GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Battleship-project,com.model.ships,Carrier,12,0,0,0,6,0,4,0,4,0
Battleship-project,com.model.ships,Battleship,12,0,0,0,6,0,4,0,4,0
Battleship-project,com.model.ships,Submarine,12,0,0,0,6,0,4,0,4,0
Battleship-project,com.model.ships,Cruiser,12,0,0,0,6,0,4,0,4,0
Battleship-project,com.model.ships,Destroyer,12,0,0,0,6,0,4,0,4,0
Battleship-project,com.model.ships,Ship,102,0,14,0,20,0,12,0,3,0
Battleship-project,com.model.game,GameMode,24,0,0,0,5,0,1,0,1,0
Battleship-project,com.model.game,AttackReport,48,0,4,0,17,0,10,0,8,0
Battleship-project,com.model.game,HealthReport,15,0,0,0,1,0,3,0,3,0
Battleship-project,com.model.game,Game,246,0,34,0,55,0,28,0,11,0
Battleship-project,com.model.game,AttackReport.HitResult,21,0,0,0,2,0,1,0,1,0
Battleship-project,com.model.game,FiringMode,15,0,0,0,3,0,1,0,1,0
Battleship-project,com.model.game.ocean,ShipPosition.Direction,27,0,0,0,2,0,1,0,1,0
Battleship-project,com.model.game.ocean,ShipPosition,93,0,4,0,24,0,10,0,8,0
Battleship-project,com.model.game.ocean,Ocean,630,0,148,0,112,0,92,0,15,0
Battleship-project,com.model.game.ocean,Point,221,0,17,0,27,0,25,0,15,0
Battleship-project,com.view,BattleshipView,120,0,2,0,36,0,11,0,10,0
Battleship-project,com.view.oceanview,ShipCellView,36,0,8,0,12,0,7,0,3,0
Battleship-project,com.view.oceanview,OceanView,156,0,18,0,25,0,16,0,7,0
Battleship-project,com.controller,BattleshipController,583,56,52,6,155,16,38,5,12,2
Battleship-project,com.app,App,84,0,10,0,25,0,8,0,3,0
Battleship-project,com.model.game.user,User,143,14,18,0,33,5,16,1,7,1
Battleship-project,com.model.game.user,UserState,0,15,0,0,0,3,0,1,0,1
Battleship-project,com.view.matrixprinter,PrettyMatrixPrinter,332,0,36,0,59,0,31,0,13,0
